,m,d,r,w,R,S,T,P
0,3.8,0.37,0.34,1.0,437490,124253,127787,300470
1,5.8,0.21,0.66,1.0,475642,142102,117307,254949
2,3.2,0.28,0.22,1.0,441297,132317,134375,282011
3,4.2,0.21,0.3,1.0,463554,119745,127436,279265
4,6.6,0.33,0.17,1.0,484717,133210,126589,245484
5,3.1,0.32,0.78,1.0,416412,112421,139174,321993
6,6.8,0.27,0.3,1.0,452151,144473,128488,264888
7,2.8,0.21,0.17,1.0,463876,132008,124565,269551
8,3.0,0.4,0.68,1.0,406758,125293,159071,298878
9,4.8,0.48,0.28,1.0,439751,136824,140318,273107
10,4.9,0.58,0.2,1.0,479254,146743,115505,248498
11,2.7,0.42,0.29,1.0,449855,118328,120103,301714
12,2.8,0.24,0.37,1.0,421746,139683,149669,278902
13,2.7,0.27,0.17,1.0,434518,121169,127078,307235
14,2.6,0.24,0.23,1.0,453298,132761,125956,277985
15,2.8,0.32,0.21,1.0,371354,118736,158771,341139
16,6.3,0.4,0.18,1.0,483301,142507,117586,246606
17,3.3,0.27,0.16,1.0,427234,121058,136124,305584
18,5.9,0.68,0.63,1.0,423894,137463,136491,292152
19,3.1,0.39,0.18,1.0,442916,123252,127440,296392
20,2.5,0.3,0.83,1.0,433918,123147,133462,299473
21,5.9,0.39,0.27,1.0,460869,133919,124637,270575
22,5.9,0.23,0.42,1.0,448299,142149,130115,269437
23,8.3,0.22,0.42,1.0,456828,134564,118860,279748
24,6.8,0.48,0.16,1.0,465394,129207,122673,272726
25,4.8,0.2,0.2,1.0,421629,113430,147381,307560
26,3.4,0.66,0.32,1.0,445445,119375,126673,298507
27,2.9,0.29,0.52,1.0,460489,137024,119568,272919
28,2.7,0.2,0.53,1.0,443006,136465,133677,276852
29,6.0,0.33,0.16,1.0,424312,128911,147499,289278
30,8.1,0.35,0.24,1.0,370070,113207,175310,331413
31,4.9,0.49,0.18,1.0,473634,140793,122053,253520
32,3.4,0.73,0.16,1.0,441212,134392,142401,271995
33,5.4,0.28,0.25,1.0,424918,124040,147784,293258
34,3.1,0.46,0.22,1.0,424278,133666,139974,292082
35,5.1,0.44,0.16,1.0,531610,142185,98315,217890
36,5.4,0.47,0.27,1.0,420880,121723,148338,299059
37,6.3,0.36,0.27,1.0,377580,114331,166955,331134
38,3.0,0.46,0.65,1.0,437611,136364,150482,265543
39,2.6,0.27,0.28,1.0,434120,131352,147141,277387
40,4.4,0.38,0.86,1.0,477054,136958,111578,264410
41,3.4,0.55,0.23,1.0,414944,140287,133944,300825
42,8.4,0.31,0.16,1.0,332326,109840,179736,368098
43,4.6,0.49,0.36,1.0,450003,126037,129642,284318
44,5.1,0.28,0.18,1.0,372639,113196,170035,334130
45,4.7,0.24,0.19,1.0,404512,119721,150578,315189
46,4.7,0.21,0.54,1.0,441699,141922,133677,272702
47,2.7,0.26,0.29,1.0,463071,156479,118239,252211
48,4.8,0.27,0.38,1.0,432608,130063,129918,297411
49,3.2,0.66,0.81,1.0,501900,156631,106670,224799
50,3.0,0.22,0.34,1.0,462731,125099,123164,279006
51,2.6,0.27,0.33,1.0,512779,150155,107006,220060
52,4.6,0.48,0.21,1.0,470577,129699,123489,266235
53,5.8,0.23,0.33,1.0,424406,113046,147809,304739
54,4.4,0.66,0.17,1.0,478948,166516,119254,225282
55,5.0,0.22,0.15,1.0,448834,150633,128485,262048
56,2.8,0.23,0.24,1.0,439569,117475,136540,296416
57,3.1,0.39,0.18,1.0,358904,113942,165741,351413
58,5.4,0.37,0.16,1.0,447300,148269,128350,266081
59,3.1,0.8,0.2,1.0,485659,172186,108611,223544
60,2.6,0.23,0.26,1.0,503860,142728,115378,228034
61,4.7,0.27,0.47,1.0,449097,149090,126074,265739
62,9.2,0.67,0.18,1.0,471986,149116,113876,255022
63,5.4,0.33,0.82,1.0,437177,133039,133354,286430
64,3.1,0.22,0.32,1.0,441128,134733,140045,274094
65,3.7,0.23,0.17,1.0,443788,126819,134208,285185
66,6.4,0.59,0.17,1.0,451796,152542,130732,254930
67,3.8,0.36,0.75,1.0,458843,137458,125978,267721
68,3.1,0.23,0.3,1.0,392853,129918,169641,297588
69,3.1,0.27,0.21,1.0,408354,125502,156035,300109
70,5.9,0.24,0.39,1.0,503358,148879,103612,234151
71,5.1,0.72,0.57,1.0,470978,124981,120376,273665
72,7.4,0.36,0.19,1.0,475760,138609,112118,263513
73,2.8,0.29,0.18,1.0,422020,118131,140845,309004
74,2.5,0.68,0.31,1.0,459955,140246,134283,255516
75,3.0,0.21,0.19,1.0,455957,126826,133825,273392
76,2.5,0.25,0.32,1.0,421120,128413,138499,301968
77,5.8,0.32,0.23,1.0,384718,124632,163262,317388
78,3.2,0.26,0.48,1.0,473885,133487,117561,265067
79,7.4,0.42,0.16,1.0,412138,130713,153261,293888
80,3.7,0.29,0.17,1.0,448424,120763,138615,282198
81,2.7,0.58,0.93,1.0,404466,126792,151063,307679
82,4.9,0.24,0.37,1.0,443789,123192,132938,290081
83,6.5,0.2,0.23,1.0,418670,114469,142160,314701
84,2.6,0.23,0.76,1.0,390352,117306,161017,321325
85,3.9,0.26,0.16,1.0,467048,141898,122697,258357
86,4.0,0.26,0.89,1.0,521398,160783,101921,205898
87,2.8,0.28,0.42,1.0,449973,128882,138390,272755
88,6.8,0.25,0.22,1.0,420202,122838,148449,298511
89,3.0,0.53,0.37,1.0,532429,155484,89882,212205
90,2.7,0.29,0.15,1.0,476730,129817,110233,273220
91,3.3,0.42,0.76,1.0,436739,132677,130325,290259
92,3.4,0.42,0.19,1.0,438116,150070,129595,272219
93,4.1,0.28,0.33,1.0,462851,138342,122137,266670
94,4.5,0.61,0.19,1.0,438207,141065,144038,266690
95,3.4,0.3,0.16,1.0,458901,125219,126176,279704
96,3.5,0.21,0.49,1.0,433082,127828,132593,296497
97,8.4,0.23,0.94,1.0,500099,137562,109829,242510
98,4.0,0.31,0.18,1.0,488967,152559,111373,237101
99,10.0,0.28,0.61,1.0,430763,119497,133658,306082
