,Mutual_Cooperation,Mutual_Defection,Exploitation
186,1680.0,1803.0,1467.0
187,1674.0,1858.0,1418.0
188,1702.0,1833.0,1415.0
189,1747.0,1765.0,1438.0
190,1760.0,1762.0,1428.0
191,1767.0,1772.0,1411.0
192,1755.0,1753.0,1442.0
193,1776.0,1747.0,1427.0
194,1764.0,1761.0,1425.0
195,1733.0,1748.0,1469.0
196,1728.0,1757.0,1465.0
197,1679.0,1820.0,1451.0
198,1662.0,1812.0,1476.0
199,1621.0,1846.0,1483.0
200,1638.0,1843.0,1469.0
201,1564.0,1878.0,1508.0
202,1590.0,1873.0,1487.0
203,1603.0,1882.0,1465.0
204,1548.0,1861.0,1541.0
205,1523.0,1883.0,1544.0
206,1532.0,1918.0,1500.0
207,1552.0,1883.0,1515.0
208,1580.0,1900.0,1470.0
209,1589.0,1879.0,1482.0
210,1599.0,1860.0,1491.0
211,1625.0,1844.0,1481.0
212,1643.0,1812.0,1495.0
213,1603.0,1845.0,1502.0
214,1614.0,1869.0,1467.0
215,1625.0,1882.0,1443.0
216,1652.0,1824.0,1474.0
217,1680.0,1796.0,1474.0
218,1676.0,1793.0,1481.0
219,1685.0,1812.0,1453.0
220,1712.0,1786.0,1452.0
221,1707.0,1764.0,1479.0
222,1720.0,1761.0,1469.0
223,1735.0,1748.0,1467.0
224,1738.0,1720.0,1492.0
225,1671.0,1762.0,1517.0
226,1606.0,1826.0,1518.0
227,1654.0,1747.0,1549.0
228,1691.0,1729.0,1530.0
229,1719.0,1710.0,1521.0
230,1730.0,1742.0,1478.0
231,1737.0,1694.0,1519.0
232,1660.0,1758.0,1532.0
233,1704.0,1769.0,1477.0
234,1709.0,1750.0,1491.0
235,1725.0,1797.0,1428.0
236,1702.0,1802.0,1446.0
237,1694.0,1784.0,1472.0
238,1697.0,1771.0,1482.0
239,1657.0,1823.0,1470.0
240,1659.0,1809.0,1482.0
241,1647.0,1768.0,1535.0
242,1677.0,1767.0,1506.0
243,1733.0,1728.0,1489.0
244,1777.0,1696.0,1477.0
245,1770.0,1680.0,1500.0
246,1773.0,1711.0,1466.0
247,1787.0,1710.0,1453.0
248,1784.0,1700.0,1466.0
249,1818.0,1675.0,1457.0
250,1835.0,1634.0,1481.0
251,1750.0,1654.0,1546.0
252,1787.0,1659.0,1504.0
253,1805.0,1656.0,1489.0
254,1780.0,1634.0,1536.0
255,1793.0,1648.0,1509.0
256,1820.0,1633.0,1497.0
257,1833.0,1630.0,1487.0
258,1820.0,1617.0,1513.0
259,1884.0,1583.0,1483.0
260,1954.0,1521.0,1475.0
261,1960.0,1558.0,1432.0
262,1948.0,1590.0,1412.0
263,1960.0,1559.0,1431.0
264,1938.0,1576.0,1436.0
265,1869.0,1617.0,1464.0
266,1807.0,1690.0,1453.0
267,1809.0,1724.0,1417.0
268,1821.0,1773.0,1356.0
269,1814.0,1739.0,1397.0
270,1753.0,1785.0,1412.0
271,1753.0,1763.0,1434.0
272,1690.0,1788.0,1472.0
273,1695.0,1819.0,1436.0
274,1703.0,1857.0,1390.0
275,1682.0,1849.0,1419.0
276,1683.0,1885.0,1382.0
277,1670.0,1916.0,1364.0
278,1680.0,1909.0,1361.0
279,1681.0,1949.0,1320.0
280,1624.0,1945.0,1381.0
281,1612.0,1980.0,1358.0
282,1634.0,1908.0,1408.0
283,1663.0,1907.0,1380.0
284,1662.0,1893.0,1395.0
285,1672.0,1859.0,1419.0
286,1721.0,1828.0,1401.0
287,1651.0,1864.0,1435.0
288,1675.0,1813.0,1462.0
289,1698.0,1863.0,1389.0
290,1720.0,1853.0,1377.0
291,1668.0,1880.0,1402.0
292,1615.0,1900.0,1435.0
293,1629.0,1911.0,1410.0
294,1566.0,1969.0,1415.0
295,1588.0,1977.0,1385.0
296,1622.0,1934.0,1394.0
297,1627.0,1945.0,1378.0
298,1647.0,1956.0,1347.0
299,1633.0,1947.0,1370.0
300,1665.0,1925.0,1360.0
301,1623.0,1921.0,1406.0
302,1619.0,1955.0,1376.0
303,1628.0,1906.0,1416.0
304,1640.0,1978.0,1332.0
305,1657.0,1962.0,1331.0
306,1658.0,1960.0,1332.0
307,1674.0,1915.0,1361.0
308,1675.0,1918.0,1357.0
309,1683.0,1918.0,1349.0
310,1731.0,1902.0,1317.0
311,1749.0,1901.0,1300.0
312,1668.0,1923.0,1359.0
313,1622.0,2007.0,1321.0
314,1653.0,1943.0,1354.0
315,1719.0,1888.0,1343.0
316,1765.0,1830.0,1355.0
317,1707.0,1919.0,1324.0
318,1733.0,1942.0,1275.0
319,1713.0,1944.0,1293.0
320,1694.0,1954.0,1302.0
321,1631.0,1976.0,1343.0
322,1659.0,1993.0,1298.0
323,1598.0,2005.0,1347.0
324,1607.0,2062.0,1281.0
325,1621.0,2069.0,1260.0
326,1627.0,2024.0,1299.0
327,1599.0,2045.0,1306.0
328,1596.0,2060.0,1294.0
329,1612.0,2040.0,1298.0
330,1580.0,2073.0,1297.0
331,1597.0,2053.0,1300.0
332,1542.0,2060.0,1348.0
333,1514.0,2148.0,1288.0
334,1456.0,2167.0,1327.0
335,1463.0,2190.0,1297.0
336,1479.0,2158.0,1313.0
