,m,d,r,w,R,S,T,P
0,5.7,0.31,0.31,1.0,434922,122065,123581,309432
1,2.5,0.44,0.58,1.0,457531,137005,111007,284457
2,6.2,0.66,0.72,1.0,412958,116974,125445,334623
3,2.6,0.38,0.4,1.0,416843,112632,122596,337929
4,2.8,0.29,0.69,1.0,421689,115428,121642,331241
5,5.8,0.23,0.2,1.0,385110,110710,146286,347894
6,4.7,0.65,0.41,1.0,456649,133354,115029,284968
7,5.4,0.45,0.55,1.0,443713,117718,119509,309060
8,2.7,0.26,0.44,1.0,483970,131141,101379,273510
9,3.0,0.26,0.35,1.0,439367,125557,119856,305220
10,5.2,0.43,0.2,1.0,465915,143286,111210,269589
11,2.6,0.35,0.23,1.0,484371,133704,105600,266325
12,6.9,0.37,0.65,1.0,462874,155883,114759,256484
13,3.8,0.43,0.94,1.0,445831,120108,117855,306206
14,2.9,0.32,0.18,1.0,441751,129661,117141,301447
15,3.2,0.27,0.24,1.0,428899,124421,117466,319214
16,3.1,0.69,0.3,1.0,464521,120413,116290,288776
17,2.8,0.37,0.27,1.0,402204,123620,131476,332700
18,3.6,0.21,0.22,1.0,400515,104547,130120,354818
19,3.1,0.44,0.97,1.0,490761,142449,100868,255922
20,5.0,0.71,0.36,1.0,383355,115348,137811,353486
21,2.7,0.26,0.18,1.0,452413,130883,115750,290954
22,4.3,0.35,0.34,1.0,443616,114700,119981,311703
23,4.1,0.23,0.91,1.0,468822,133263,110293,277622
24,5.5,0.37,0.94,1.0,399162,104538,139776,346524
25,8.8,0.38,0.34,1.0,493370,135584,94650,266396
26,4.6,0.25,0.17,1.0,458308,126998,107862,296832
27,9.9,0.21,0.37,1.0,428956,130823,122955,307266
28,3.2,0.22,0.17,1.0,425264,112446,119723,332567
29,3.1,0.22,0.17,1.0,422742,127827,123971,315460
30,5.4,0.24,0.2,1.0,439317,128855,117970,303858
31,4.4,0.22,0.25,1.0,412734,125779,134745,316742
32,4.2,0.35,0.55,1.0,489009,128606,99251,273134
33,3.6,0.58,0.58,1.0,408348,127073,127125,327454
34,2.5,0.26,0.65,1.0,432869,117568,125078,314485
35,2.5,0.3,0.47,1.0,411615,109148,133277,335960
36,3.9,0.27,0.15,1.0,441450,117628,112981,317941
37,3.4,0.82,0.35,1.0,390261,112831,138998,347910
38,4.8,0.4,0.18,1.0,419340,116819,129349,324492
39,6.0,0.24,0.19,1.0,407130,110044,127737,345089
40,3.2,0.52,0.2,1.0,410303,102305,135860,341532
41,7.6,0.41,0.31,1.0,457710,147829,117429,267032
42,3.2,0.3,0.39,1.0,431417,131478,119655,307450
43,7.8,0.24,0.93,1.0,471051,115552,104399,298998
44,4.5,0.29,0.32,1.0,376940,107552,143923,361585
45,3.3,0.39,0.18,1.0,385501,111530,142264,350705
46,2.6,0.54,0.25,1.0,398457,118452,146003,327088
47,4.1,0.34,0.2,1.0,442926,127452,119295,300327
48,2.7,0.65,0.91,1.0,447270,130432,110905,301393
49,3.8,0.34,0.69,1.0,364826,109676,144944,370554
50,4.9,0.43,0.56,1.0,470891,153126,101577,264406
51,2.9,0.92,0.17,1.0,429501,108708,124963,326828
52,3.5,0.31,0.19,1.0,424663,103443,128575,333319
53,2.9,0.75,0.18,1.0,443809,132399,118348,295444
54,2.9,0.22,0.21,1.0,382766,119671,153405,334158
55,4.8,0.26,0.38,1.0,438037,120923,118265,312775
56,6.2,0.32,0.16,1.0,433717,138863,129749,287671
57,3.9,0.35,0.25,1.0,479087,131753,106200,272960
58,2.9,0.23,0.15,1.0,469454,138032,114880,267634
59,5.3,0.8,0.5,1.0,442256,129624,119991,298129
60,4.1,0.39,0.5,1.0,429605,118651,126057,315687
61,4.8,0.34,0.32,1.0,404192,116007,140048,329753
62,4.6,0.25,0.18,1.0,435431,128253,118295,308021
63,5.8,0.81,0.21,1.0,387815,121940,141555,338690
64,6.1,0.26,0.25,1.0,432423,120706,128552,308319
65,3.0,0.25,0.24,1.0,468374,137375,103430,280821
66,6.0,0.48,0.15,1.0,405671,113935,130529,339865
67,3.9,0.23,0.24,1.0,454895,120043,110959,304103
68,2.6,0.2,0.16,1.0,407178,121454,132713,328655
69,7.0,0.3,0.16,1.0,378723,107765,137612,365900
70,4.1,0.22,0.24,1.0,420267,128933,123570,317230
71,4.5,0.45,0.24,1.0,421385,108631,119832,340152
72,5.4,0.22,0.16,1.0,436074,129192,122192,302542
73,6.7,0.24,0.18,1.0,411063,109822,134395,334720
74,4.9,0.21,0.37,1.0,414261,100245,128432,347062
75,7.0,0.38,0.46,1.0,429187,114980,126814,319019
76,4.0,0.24,0.21,1.0,458820,123586,115992,291602
77,3.5,0.28,0.69,1.0,450255,137891,115637,286217
78,2.8,0.22,0.17,1.0,434905,137702,120617,296776
79,2.7,0.31,0.22,1.0,402394,112736,139593,335277
80,5.2,0.38,0.24,1.0,421688,112225,124301,331786
81,2.5,0.93,0.2,1.0,409081,107496,133015,340408
82,4.0,0.62,0.28,1.0,407900,122653,134669,324778
83,4.7,0.23,0.37,1.0,454058,124326,116433,295183
84,2.8,0.76,0.24,1.0,447626,121257,118637,302480
85,5.3,0.37,0.19,1.0,412780,133593,126370,317257
86,3.4,0.23,0.2,1.0,441395,125743,119251,303611
87,3.2,0.29,0.24,1.0,484474,132104,101276,272146
88,4.5,0.21,0.97,1.0,422216,120053,124156,323575
89,4.2,0.28,0.15,1.0,413907,115954,120648,339491
90,2.7,0.22,0.2,1.0,427827,121785,121426,318962
91,5.4,0.27,0.58,1.0,357451,102598,152589,377362
92,5.3,0.23,0.84,1.0,412724,118110,131196,327970
93,6.2,0.3,0.51,1.0,441668,126586,120817,300929
94,2.8,0.26,0.5,1.0,426812,139095,127878,296215
95,3.7,0.26,0.16,1.0,492446,134197,100031,263326
96,4.4,0.33,0.16,1.0,453453,134625,113277,288645
97,3.0,0.26,0.42,1.0,445229,118204,119479,307088
98,9.7,0.82,0.42,1.0,386565,113939,141514,347982
99,2.9,0.24,0.21,1.0,428803,132877,120689,307631
