,m,d,r,w,R,S,T,P
0,7.4,0.23,0.3,1.0,336903,114435,155791,382871
1,4.1,0.27,0.9,1.0,370418,117159,152775,349648
2,3.4,0.52,0.27,1.0,436595,128954,121296,303155
3,2.7,0.36,0.86,1.0,420382,148084,128863,292671
4,6.5,0.29,0.74,1.0,386845,118230,141141,343784
5,5.5,0.36,0.16,1.0,409784,129726,129055,321435
6,2.8,0.28,0.35,1.0,384306,122551,140938,342205
7,6.5,0.52,0.18,1.0,426939,128976,125246,308839
8,3.5,0.25,0.48,1.0,414553,159164,125194,291089
9,3.7,0.28,0.2,1.0,405276,118477,139966,326281
10,6.4,0.21,0.36,1.0,397765,118057,135239,338939
11,5.6,0.8,0.63,1.0,443264,143748,122179,280809
12,2.7,0.24,0.48,1.0,461689,140026,108307,279978
13,3.4,0.33,0.24,1.0,433682,140227,116692,299399
14,4.3,0.64,0.21,1.0,335830,114983,163663,375524
15,3.4,0.29,0.47,1.0,380731,121502,143879,343888
16,9.8,0.21,0.74,1.0,415163,122725,133812,318300
17,2.9,0.2,0.29,1.0,385799,114896,137016,352289
18,3.8,0.2,0.3,1.0,456866,156357,100914,275863
19,3.1,0.64,0.18,1.0,411394,132738,128444,317424
20,4.4,0.23,0.19,1.0,410200,125419,132250,322131
21,8.7,0.63,0.52,1.0,397064,122204,145088,325644
22,2.8,0.21,0.18,1.0,368410,104404,146705,370481
23,3.4,0.34,0.16,1.0,392619,127529,139866,329986
24,4.4,0.56,0.16,1.0,407989,141897,130768,309346
25,3.4,0.5,0.86,1.0,415925,141001,131510,301564
26,2.6,0.62,0.66,1.0,395687,134969,141547,317797
27,8.2,0.23,0.19,1.0,454265,141487,112114,282134
28,2.7,0.52,0.59,1.0,430901,136144,120882,302073
29,3.9,0.21,0.67,1.0,428321,124341,118311,319027
30,3.1,0.24,0.35,1.0,378660,118397,144306,348637
31,2.7,0.33,0.3,1.0,365133,119330,148603,356934
32,3.8,0.44,0.39,1.0,387033,122670,141816,338481
33,3.9,0.23,0.69,1.0,431345,141128,126526,291001
34,3.9,0.23,0.35,1.0,432685,126621,122062,308632
35,3.8,0.43,0.17,1.0,417828,119720,124455,327997
36,8.7,0.4,0.43,1.0,415448,132128,128875,313549
