S.D.,Counts,Seed
0.5,285,16
0.6,303,16
0.7,287,16
0.8,243,16
0.9,226,16
1.0,188,16
1.1,161,16
1.2,132,16
1.3,123,16
1.4,107,16
1.5,100,16
1.6,78,16
1.7,78,16
1.8,58,16
1.9,50,16
2.0,45,16
2.1,36,16
2.2,24,16
2.3,16,16
2.4,11,16
2.5,6,16
2.6,3,16
2.7,2,16
2.8,1,16
2.9,1,16
3.0,1,16
