S.D.,Counts,seed,tournament_type
0.5,271,8,norm_mdr_sd_min
0.6,265,8,norm_mdr_sd_min
0.7,255,8,norm_mdr_sd_min
0.8,250,8,norm_mdr_sd_min
0.9,224,8,norm_mdr_sd_min
1,189,8,norm_mdr_sd_min
1.1,164,8,norm_mdr_sd_min
1.2,140,8,norm_mdr_sd_min
1.3,134,8,norm_mdr_sd_min
1.4,106,8,norm_mdr_sd_min
1.5,106,8,norm_mdr_sd_min
1.6,97,8,norm_mdr_sd_min
1.7,83,8,norm_mdr_sd_min
1.8,68,8,norm_mdr_sd_min
1.9,54,8,norm_mdr_sd_min
2,44,8,norm_mdr_sd_min
2.1,28,8,norm_mdr_sd_min
2.2,17,8,norm_mdr_sd_min
2.3,9,8,norm_mdr_sd_min
2.4,11,8,norm_mdr_sd_min
2.5,6,8,norm_mdr_sd_min
2.6,6,8,norm_mdr_sd_min
2.7,2,8,norm_mdr_sd_min
2.8,1,8,norm_mdr_sd_min
2.9,2,8,norm_mdr_sd_min
3,1,8,norm_mdr_sd_min
