S.D.,Counts
0.5,265
0.6,286
0.7,267
0.8,231
0.9,195
1.0,188
1.1,159
1.2,150
1.3,123
1.4,121
1.5,102
1.6,81
1.7,61
1.8,39
1.9,30
2.0,26
2.1,16
2.2,12
2.3,13
2.4,14
2.5,13
2.6,5
2.7,3
2.8,1
2.9,0
3.0,0
