S.D.,Counts,seed,tournament_type
0.5,255,256,norm_mdr_sd_min
0.6,261,256,norm_mdr_sd_min
0.7,258,256,norm_mdr_sd_min
0.8,250,256,norm_mdr_sd_min
0.9,235,256,norm_mdr_sd_min
1,213,256,norm_mdr_sd_min
1.1,168,256,norm_mdr_sd_min
1.2,165,256,norm_mdr_sd_min
1.3,146,256,norm_mdr_sd_min
1.4,122,256,norm_mdr_sd_min
1.5,86,256,norm_mdr_sd_min
1.6,67,256,norm_mdr_sd_min
1.7,54,256,norm_mdr_sd_min
1.8,42,256,norm_mdr_sd_min
1.9,36,256,norm_mdr_sd_min
2,39,256,norm_mdr_sd_min
2.1,38,256,norm_mdr_sd_min
2.2,18,256,norm_mdr_sd_min
2.3,13,256,norm_mdr_sd_min
2.4,8,256,norm_mdr_sd_min
2.5,7,256,norm_mdr_sd_min
2.6,3,256,norm_mdr_sd_min
2.7,2,256,norm_mdr_sd_min
2.8,3,256,norm_mdr_sd_min
2.9,4,256,norm_mdr_sd_min
3,3,256,norm_mdr_sd_min
