S.D.,Counts
0.5,893
0.6,900
0.7,811
0.8,716
0.9,714
1.0,635
1.1,591
1.2,497
1.3,433
1.4,411
1.5,265
1.6,188
1.7,180
1.8,156
1.9,138
2.0,124
2.1,92
2.2,83
2.3,89
2.4,61
2.5,28
2.6,29
2.7,28
2.8,11
2.9,2
3.0,1
