S.D.,Counts,seed,tournament_type
0.5,285,2,pareto_m_min
0.6,251,2,pareto_m_min
0.7,234,2,pareto_m_min
0.8,203,2,pareto_m_min
0.9,195,2,pareto_m_min
1,176,2,pareto_m_min
1.1,162,2,pareto_m_min
1.2,157,2,pareto_m_min
1.3,149,2,pareto_m_min
1.4,126,2,pareto_m_min
1.5,106,2,pareto_m_min
1.6,89,2,pareto_m_min
1.7,68,2,pareto_m_min
1.8,57,2,pareto_m_min
1.9,52,2,pareto_m_min
2,45,2,pareto_m_min
2.1,36,2,pareto_m_min
2.2,26,2,pareto_m_min
2.3,16,2,pareto_m_min
2.4,8,2,pareto_m_min
2.5,11,2,pareto_m_min
2.6,6,2,pareto_m_min
2.7,2,2,pareto_m_min
2.8,0,2,pareto_m_min
2.9,0,2,pareto_m_min
3,0,2,pareto_m_min
