S.D.,Counts
0.5,279
0.6,250
0.7,251
0.8,256
0.9,240
1.0,206
1.1,167
1.2,176
1.3,151
1.4,122
1.5,100
1.6,86
1.7,69
1.8,59
1.9,43
2.0,35
2.1,27
2.2,14
2.3,9
2.4,12
2.5,9
2.6,9
2.7,3
2.8,2
2.9,0
3.0,0
