S.D.,Counts
0.5,979
0.6,904
0.7,914
0.8,794
0.9,745
1.0,726
1.1,602
1.2,555
1.3,499
1.4,422
1.5,375
1.6,296
1.7,252
1.8,197
1.9,119
2.0,93
2.1,77
2.2,73
2.3,36
2.4,28
2.5,15
2.6,18
2.7,17
2.8,5
2.9,2
3.0,5
