S.D.,Counts,seed,tournament_type
0.5,303,16,norm_m_sd_min
0.6,266,16,norm_m_sd_min
0.7,229,16,norm_m_sd_min
0.8,192,16,norm_m_sd_min
0.9,176,16,norm_m_sd_min
1,164,16,norm_m_sd_min
1.1,144,16,norm_m_sd_min
1.2,130,16,norm_m_sd_min
1.3,123,16,norm_m_sd_min
1.4,100,16,norm_m_sd_min
1.5,92,16,norm_m_sd_min
1.6,86,16,norm_m_sd_min
1.7,56,16,norm_m_sd_min
1.8,58,16,norm_m_sd_min
1.9,59,16,norm_m_sd_min
2,52,16,norm_m_sd_min
2.1,46,16,norm_m_sd_min
2.2,26,16,norm_m_sd_min
2.3,12,16,norm_m_sd_min
2.4,8,16,norm_m_sd_min
2.5,6,16,norm_m_sd_min
2.6,5,16,norm_m_sd_min
2.7,2,16,norm_m_sd_min
2.8,1,16,norm_m_sd_min
2.9,0,16,norm_m_sd_min
3,0,16,norm_m_sd_min
