S.D.,Counts
0.5,303
0.6,266
0.7,229
0.8,192
0.9,176
1.0,164
1.1,144
1.2,130
1.3,123
1.4,100
1.5,92
1.6,86
1.7,56
1.8,58
1.9,59
2.0,52
2.1,46
2.2,26
2.3,12
2.4,8
2.5,6
2.6,5
2.7,2
2.8,1
2.9,0
3.0,0
