S.D.,Counts,seed,tournament_type
0.5,231,2,pareto_mdr_min
0.6,234,2,pareto_mdr_min
0.7,229,2,pareto_mdr_min
0.8,181,2,pareto_mdr_min
0.9,179,2,pareto_mdr_min
1,176,2,pareto_mdr_min
1.1,144,2,pareto_mdr_min
1.2,149,2,pareto_mdr_min
1.3,151,2,pareto_mdr_min
1.4,133,2,pareto_mdr_min
1.5,110,2,pareto_mdr_min
1.6,107,2,pareto_mdr_min
1.7,79,2,pareto_mdr_min
1.8,64,2,pareto_mdr_min
1.9,44,2,pareto_mdr_min
2,21,2,pareto_mdr_min
2.1,23,2,pareto_mdr_min
2.2,17,2,pareto_mdr_min
2.3,10,2,pareto_mdr_min
2.4,8,2,pareto_mdr_min
2.5,2,2,pareto_mdr_min
2.6,2,2,pareto_mdr_min
2.7,1,2,pareto_mdr_min
2.8,0,2,pareto_mdr_min
2.9,0,2,pareto_mdr_min
3,0,2,pareto_mdr_min
