S.D.,Counts
0.5,259
0.6,257
0.7,220
0.8,219
0.9,210
1.0,192
1.1,191
1.2,169
1.3,159
1.4,141
1.5,110
1.6,96
1.7,92
1.8,81
1.9,57
2.0,41
2.1,19
2.2,12
2.3,7
2.4,4
2.5,3
2.6,5
2.7,2
2.8,1
2.9,0
3.0,0
