S.D.,Counts,seed,tournament_type
0.5,305,4,pareto_mdr_max
0.6,308,4,pareto_mdr_max
0.7,263,4,pareto_mdr_max
0.8,254,4,pareto_mdr_max
0.9,226,4,pareto_mdr_max
1,190,4,pareto_mdr_max
1.1,170,4,pareto_mdr_max
1.2,146,4,pareto_mdr_max
1.3,123,4,pareto_mdr_max
1.4,118,4,pareto_mdr_max
1.5,99,4,pareto_mdr_max
1.6,88,4,pareto_mdr_max
1.7,62,4,pareto_mdr_max
1.8,49,4,pareto_mdr_max
1.9,50,4,pareto_mdr_max
2,42,4,pareto_mdr_max
2.1,33,4,pareto_mdr_max
2.2,25,4,pareto_mdr_max
2.3,18,4,pareto_mdr_max
2.4,8,4,pareto_mdr_max
2.5,6,4,pareto_mdr_max
2.6,3,4,pareto_mdr_max
2.7,2,4,pareto_mdr_max
2.8,2,4,pareto_mdr_max
2.9,1,4,pareto_mdr_max
3,0,4,pareto_mdr_max
