S.D.,Counts
0.5,278
0.6,251
0.7,236
0.8,231
0.9,209
1.0,187
1.1,177
1.2,146
1.3,149
1.4,126
1.5,80
1.6,79
1.7,67
1.8,63
1.9,55
2.0,35
2.1,19
2.2,18
2.3,14
2.4,10
2.5,8
2.6,8
2.7,7
2.8,5
2.9,2
3.0,1
