S.D.,Counts
0.5,316
0.6,303
0.7,293
0.8,275
0.9,263
1.0,219
1.1,184
1.2,163
1.3,156
1.4,123
1.5,104
1.6,87
1.7,72
1.8,60
1.9,45
2.0,32
2.1,27
2.2,25
2.3,24
2.4,13
2.5,10
2.6,7
2.7,6
2.8,5
2.9,5
3.0,7
