S.D.,Counts,Seed
0.5,241,128
0.6,235,128
0.7,219,128
0.8,214,128
0.9,217,128
1.0,191,128
1.1,172,128
1.2,170,128
1.3,150,128
1.4,120,128
1.5,87,128
1.6,80,128
1.7,69,128
1.8,54,128
1.9,59,128
2.0,34,128
2.1,24,128
2.2,19,128
2.3,12,128
2.4,9,128
2.5,6,128
2.6,4,128
2.7,2,128
2.8,1,128
2.9,1,128
3.0,0,128
